State,PerStudentSpending
Alabama,9696
Alaska,17726
Arizona,8239
Arkansas,10139
California,12498
Colorado,10202
Connecticut,20635
Delaware,15639
District of Columbia,22759
Florida,9346
Georgia,10810
Hawaii,15242
Idaho,7771
Illinois,15741
Indiana,10262
Iowa,11732
Kansas,11653
Kentucky,11110
Louisiana,11452
Maine,14145
Maryland,14762
Massachusetts,17058
Michigan,12345
Minnesota,12975
Mississippi,8935
Missouri,10810
Montana,11680
Nebraska,12491
Nevada,9417
New Hampshire,16893
New Jersey,20021
New Mexico,9582
New York,24040
North Carolina,9377
North Dakota,13758
Ohio,13027
Oklahoma,8239
Oregon,11920
Pennsylvania,16395
Rhode Island,16121
South Carolina,10856
South Dakota,10073
Tennessee,9544
Texas,9606
Utah,7628
Vermont,19340
Virginia,12216
Washington,12995
West Virginia,11334
Wisconsin,12285
Wyoming,16224
